id_module;name;active;version
1;blockwishlist;1;2.0.1
2;contactform;1;4.3.0
3;dashactivity;1;2.0.2
4;dashtrends;1;2.0.3
5;dashgoals;1;2.0.2
6;dashproducts;1;2.1.1
7;graphnvd3;1;2.0.1
8;gridhtml;1;2.0.1
9;gsitemap;1;4.2.0
10;pagesnotfound;1;2.0.0
11;productcomments;1;4.2.2
12;ps_banner;1;2.1.1
13;ps_categorytree;1;2.0.2
14;ps_checkpayment;1;2.0.5
15;ps_contactinfo;1;3.3.0
16;ps_crossselling;1;2.0.1
17;ps_currencyselector;1;2.0.1
18;ps_customeraccountlinks;1;3.1.1
19;ps_customersignin;1;2.0.4
20;ps_customtext;1;4.1.1
21;ps_dataprivacy;1;2.0.1
22;ps_emailsubscription;1;2.7.0
23;ps_facetedsearch;1;3.7.1
24;ps_faviconnotificationbo;1;2.1.0
25;ps_featuredproducts;1;2.1.0
26;ps_imageslider;1;3.1.0
27;ps_languageselector;1;2.1.0
28;ps_linklist;1;5.0.4
29;ps_mainmenu;1;2.3.0
30;ps_searchbar;1;2.1.1
31;ps_sharebuttons;1;2.1.1
32;ps_shoppingcart;1;2.0.4
33;ps_socialfollow;1;2.2.0
34;ps_themecusto;1;1.2.1
35;ps_wirepayment;1;2.1.0
36;statsbestcategories;1;2.0.0
37;statsbestcustomers;1;2.0.2
38;statsbestproducts;1;2.0.0
39;statsbestsuppliers;1;2.0.0
40;statsbestvouchers;1;2.0.0
41;statscarrier;1;2.0.0
42;statscatalog;1;2.0.1
43;statscheckup;1;2.0.1
44;statsdata;1;2.1.0
45;statsforecast;1;2.0.3
46;statsnewsletter;1;2.0.2
47;statspersonalinfos;1;2.0.3
48;statsproduct;1;2.0.3
49;statsregistrations;1;2.0.0
50;statssales;1;2.0.0
51;statssearch;1;2.0.1
52;statsstock;1;2.0.0
53;welcome;1;6.0.6
54;gamification;1;2.3.2
55;psgdpr;1;1.2.1
56;ps_mbo;1;2.0.1
57;ps_buybuttonlite;1;1.0.1
58;ps_metrics;1;2.4.0
59;ps_facebook;1;1.14.0
60;blockreassurance;1;5.0.0
61;ps_cashondelivery;1;1.0.6
62;ps_googleanalytics;0;4.1.0
